mass,sigma
108.16000000,2.79726605
108.17000000,2.79411733
108.18000000,2.79097438
108.19000000,2.78783717
108.20000000,2.78470570
108.21000000,2.78157992
108.22000000,2.77845983
108.23000000,2.77534538
108.24000000,2.77223657
108.25000000,2.76913337
108.26000000,2.76603574
108.27000000,2.76294368
108.28000000,2.75985715
108.29000000,2.75677614
108.30000000,2.75370061
108.31000000,2.75063054
108.32000000,2.74756591
108.33000000,2.74450670
108.34000000,2.74145289
108.35000000,2.73840443
108.36000000,2.73536133
108.37000000,2.73232354
108.38000000,2.72929105
108.39000000,2.72626384
108.40000000,2.72324187
108.41000000,2.72022513
108.42000000,2.71721358
108.43000000,2.71420722
108.44000000,2.71120601
108.45000000,2.70820993
108.46000000,2.70521895
108.47000000,2.70223306
108.48000000,2.69925222
108.49000000,2.69627642
108.50000000,2.69330562
108.51000000,2.69033982
108.52000000,2.68737900
108.53000000,2.68442314
108.54000000,2.68147223
108.55000000,2.67852628
108.56000000,2.67558526
108.57000000,2.67264918
108.58000000,2.66971801
108.59000000,2.66679175
108.60000000,2.66387039
108.61000000,2.66095392
108.62000000,2.65804234
108.63000000,2.65513562
108.64000000,2.65223376
108.65000000,2.64933676
108.66000000,2.64644460
108.67000000,2.64355727
108.68000000,2.64067476
108.69000000,2.63779707
108.70000000,2.63492418
108.71000000,2.63205609
108.72000000,2.62919277
108.73000000,2.62633424
108.74000000,2.62348047
108.75000000,2.62063145
108.76000000,2.61778718
108.77000000,2.61494765
108.78000000,2.61211284
108.79000000,2.60928275
108.80000000,2.60645737
108.81000000,2.60363669
108.82000000,2.60082069
108.83000000,2.59800937
108.84000000,2.59520272
108.85000000,2.59240074
108.86000000,2.58960340
108.87000000,2.58681070
108.88000000,2.58402263
108.89000000,2.58123918
108.90000000,2.57846034
108.91000000,2.57568611
108.92000000,2.57291647
108.93000000,2.57015140
108.94000000,2.56739092
108.95000000,2.56463499
108.96000000,2.56188362
108.97000000,2.55913679
108.98000000,2.55639450
108.99000000,2.55365673
109.00000000,2.55092348
109.01000000,2.54819473
109.02000000,2.54547048
109.03000000,2.54275072
109.04000000,2.54003543
109.05000000,2.53732461
109.06000000,2.53461824
109.07000000,2.53191632
109.08000000,2.52921885
109.09000000,2.52652580
109.10000000,2.52383717
109.11000000,2.52115294
109.12000000,2.51847312
109.13000000,2.51579769
109.14000000,2.51312664
109.15000000,2.51045996
109.16000000,2.50779764
109.17000000,2.50513967
109.18000000,2.50248604
109.19000000,2.49983675
109.20000000,2.49719178
109.21000000,2.49455112
109.22000000,2.49191476
109.23000000,2.48928270
109.24000000,2.48665493
109.25000000,2.48403143
109.26000000,2.48141219
109.27000000,2.47879721
109.28000000,2.47618647
109.29000000,2.47357997
109.30000000,2.47097770
109.31000000,2.46837964
109.32000000,2.46578579
109.33000000,2.46319614
109.34000000,2.46061068
109.35000000,2.45802940
109.36000000,2.45545228
109.37000000,2.45287932
109.38000000,2.45031052
109.39000000,2.44774585
109.40000000,2.44518531
109.41000000,2.44262890
109.42000000,2.44007659
109.43000000,2.43752839
109.44000000,2.43498428
109.45000000,2.43244425
109.46000000,2.42990829
109.47000000,2.42737640
109.48000000,2.42484856
109.49000000,2.42232476
109.50000000,2.41980500
109.51000000,2.41728926
109.52000000,2.41477754
109.53000000,2.41226983
109.54000000,2.40976613
109.55000000,2.40726641
109.56000000,2.40477069
109.57000000,2.40227895
109.58000000,2.39979118
109.59000000,2.39730737
109.60000000,2.39482753
109.61000000,2.39235164
109.62000000,2.38987969
109.63000000,2.38741168
109.64000000,2.38494760
109.65000000,2.38248744
109.66000000,2.38003119
109.67000000,2.37757886
109.68000000,2.37513042
109.69000000,2.37268588
109.70000000,2.37024523
109.71000000,2.36780845
109.72000000,2.36537554
109.73000000,2.36294650
109.74000000,2.36052132
109.75000000,2.35809998
109.76000000,2.35568249
109.77000000,2.35326883
109.78000000,2.35085900
109.79000000,2.34845299
109.80000000,2.34605080
109.81000000,2.34365241
109.82000000,2.34125782
109.83000000,2.33886702
109.84000000,2.33648000
109.85000000,2.33409676
109.86000000,2.33171729
109.87000000,2.32934158
109.88000000,2.32696963
109.89000000,2.32460143
109.90000000,2.32223696
109.91000000,2.31987623
109.92000000,2.31751922
109.93000000,2.31516593
109.94000000,2.31281636
109.95000000,2.31047048
109.96000000,2.30812831
109.97000000,2.30578982
109.98000000,2.30345502
109.99000000,2.30112389
110.00000000,2.29879642
110.01000000,2.29647262
110.02000000,2.29415247
110.03000000,2.29183596
110.04000000,2.28952310
110.05000000,2.28721386
110.06000000,2.28490825
110.07000000,2.28260626
110.08000000,2.28030787
110.09000000,2.27801309
110.10000000,2.27572190
110.11000000,2.27343429
110.12000000,2.27115027
110.13000000,2.26886982
110.14000000,2.26659293
110.15000000,2.26431961
110.16000000,2.26204983
110.17000000,2.25978360
110.18000000,2.25752090
110.19000000,2.25526174
110.20000000,2.25300609
110.21000000,2.25075396
110.22000000,2.24850533
110.23000000,2.24626021
110.24000000,2.24401858
110.25000000,2.24178043
110.26000000,2.23954576
110.27000000,2.23731456
