mass,sigma
117.13000000,1.25104645
117.14000000,1.25013246
117.15000000,1.24921951
117.16000000,1.24830760
117.17000000,1.24739673
117.18000000,1.24648689
117.19000000,1.24557808
117.20000000,1.24467031
117.21000000,1.24376356
117.22000000,1.24285785
117.23000000,1.24195316
117.24000000,1.24104949
117.25000000,1.24014685
117.26000000,1.23924523
117.27000000,1.23834463
117.28000000,1.23744505
117.29000000,1.23654649
117.30000000,1.23564894
117.31000000,1.23475240
117.32000000,1.23385688
117.33000000,1.23296237
117.34000000,1.23206887
117.35000000,1.23117637
117.36000000,1.23028488
117.37000000,1.22939440
117.38000000,1.22850492
117.39000000,1.22761643
117.40000000,1.22672895
117.41000000,1.22584247
117.42000000,1.22495698
117.43000000,1.22407249
117.44000000,1.22318899
117.45000000,1.22230648
117.46000000,1.22142496
117.47000000,1.22054443
117.48000000,1.21966488
117.49000000,1.21878633
117.50000000,1.21790875
117.51000000,1.21703216
117.52000000,1.21615654
117.53000000,1.21528191
117.54000000,1.21440825
117.55000000,1.21353556
117.56000000,1.21266385
117.57000000,1.21179311
117.58000000,1.21092333
117.59000000,1.21005453
117.60000000,1.20918669
117.61000000,1.20831981
117.62000000,1.20745389
117.63000000,1.20658893
117.64000000,1.20572493
117.65000000,1.20486189
117.66000000,1.20399980
117.67000000,1.20313866
117.68000000,1.20227847
117.69000000,1.20141924
117.70000000,1.20056094
117.71000000,1.19970359
117.72000000,1.19884719
117.73000000,1.19799172
117.74000000,1.19713720
117.75000000,1.19628361
117.76000000,1.19543096
117.77000000,1.19457924
117.78000000,1.19372845
117.79000000,1.19287859
117.80000000,1.19202966
117.81000000,1.19118166
117.82000000,1.19033458
117.83000000,1.18948842
117.84000000,1.18864318
117.85000000,1.18779886
117.86000000,1.18695546
117.87000000,1.18611297
117.88000000,1.18527140
117.89000000,1.18443074
117.90000000,1.18359098
117.91000000,1.18275214
117.92000000,1.18191420
117.93000000,1.18107716
117.94000000,1.18024103
117.95000000,1.17940579
117.96000000,1.17857145
117.97000000,1.17773801
117.98000000,1.17690547
117.99000000,1.17607381
118.00000000,1.17524305
118.01000000,1.17441317
118.02000000,1.17358419
118.03000000,1.17275609
118.04000000,1.17192887
118.05000000,1.17110253
118.06000000,1.17027707
118.07000000,1.16945249
118.08000000,1.16862879
118.09000000,1.16780596
118.10000000,1.16698400
118.11000000,1.16616291
118.12000000,1.16534269
118.13000000,1.16452334
118.14000000,1.16370485
118.15000000,1.16288722
118.16000000,1.16207046
118.17000000,1.16125455
118.18000000,1.16043950
118.19000000,1.15962531
118.20000000,1.15881197
118.21000000,1.15799948
118.22000000,1.15718784
118.23000000,1.15637705
118.24000000,1.15556711
118.25000000,1.15475801
118.26000000,1.15394975
118.27000000,1.15314234
118.28000000,1.15233576
118.29000000,1.15153001
118.30000000,1.15072511
118.31000000,1.14992103
118.32000000,1.14911779
118.33000000,1.14831538
118.34000000,1.14751379
118.35000000,1.14671303
118.36000000,1.14591310
118.37000000,1.14511398
118.38000000,1.14431569
118.39000000,1.14351821
118.40000000,1.14272155
118.41000000,1.14192570
118.42000000,1.14113067
118.43000000,1.14033645
118.44000000,1.13954304
118.45000000,1.13875043
118.46000000,1.13795863
118.47000000,1.13716763
118.48000000,1.13637743
118.49000000,1.13558804
118.50000000,1.13479944
118.51000000,1.13401163
118.52000000,1.13322463
118.53000000,1.13243841
118.54000000,1.13165300
118.55000000,1.13086837
118.56000000,1.13008454
118.57000000,1.12930151
118.58000000,1.12851927
118.59000000,1.12773782
118.60000000,1.12695716
118.61000000,1.12617729
118.62000000,1.12539822
118.63000000,1.12461994
118.64000000,1.12384245
118.65000000,1.12306575
118.66000000,1.12228984
118.67000000,1.12151472
118.68000000,1.12074039
118.69000000,1.11996684
118.70000000,1.11919409
118.71000000,1.11842213
118.72000000,1.11765095
118.73000000,1.11688056
118.74000000,1.11611096
118.75000000,1.11534214
118.76000000,1.11457412
118.77000000,1.11380687
118.78000000,1.11304042
118.79000000,1.11227475
118.80000000,1.11150986
118.81000000,1.11074576
118.82000000,1.10998244
118.83000000,1.10921991
118.84000000,1.10845816
118.85000000,1.10769719
118.86000000,1.10693701
118.87000000,1.10617760
118.88000000,1.10541898
118.89000000,1.10466115
118.90000000,1.10390409
118.91000000,1.10314781
118.92000000,1.10239232
118.93000000,1.10163760
118.94000000,1.10088367
118.95000000,1.10013051
118.96000000,1.09937813
118.97000000,1.09862653
118.98000000,1.09787571
118.99000000,1.09712567
119.00000000,1.09637641
119.01000000,1.09562792
119.02000000,1.09488021
119.03000000,1.09413327
119.04000000,1.09338711
119.05000000,1.09264173
119.06000000,1.09189712
119.07000000,1.09115329
119.08000000,1.09041023
119.09000000,1.08966795
119.10000000,1.08892644
119.11000000,1.08818570
119.12000000,1.08744574
119.13000000,1.08670654
119.14000000,1.08596812
119.15000000,1.08523048
119.16000000,1.08449360
119.17000000,1.08375750
119.18000000,1.08302216
119.19000000,1.08228760
119.20000000,1.08155380
119.21000000,1.08082078
119.22000000,1.08008853
119.23000000,1.07935704
119.24000000,1.07862632
119.25000000,1.07789637
119.26000000,1.07716719
119.27000000,1.07643878
119.28000000,1.07571113
119.29000000,1.07498425
119.30000000,1.07425814
119.31000000,1.07353279
119.32000000,1.07280820
119.33000000,1.07208439
119.34000000,1.07136133
119.35000000,1.07063904
119.36000000,1.06991752
119.37000000,1.06919676
119.38000000,1.06847676
119.39000000,1.06775753
119.40000000,1.06703905
119.41000000,1.06632134
119.42000000,1.06560440
119.43000000,1.06488821
119.44000000,1.06417278
119.45000000,1.06345812
119.46000000,1.06274421
119.47000000,1.06203107
119.48000000,1.06131868
119.49000000,1.06060706
119.50000000,1.05989619
119.51000000,1.05918608
119.52000000,1.05847673
119.53000000,1.05776813
119.54000000,1.05706029
119.55000000,1.05635321
119.56000000,1.05564688
119.57000000,1.05494130
119.58000000,1.05423647
119.59000000,1.05353240
119.60000000,1.05282908
119.61000000,1.05212650
119.62000000,1.05142468
119.63000000,1.05072360
119.64000000,1.05002328
119.65000000,1.04932369
119.66000000,1.04862486
119.67000000,1.04792676
119.68000000,1.04722941
119.69000000,1.04653281
119.70000000,1.04583694
119.71000000,1.04514182
119.72000000,1.04444744
119.73000000,1.04375379
119.74000000,1.04306089
119.75000000,1.04236872
119.76000000,1.04167729
119.77000000,1.04098660
119.78000000,1.04029664
119.79000000,1.03960741
119.80000000,1.03891892
119.81000000,1.03823116
119.82000000,1.03754413
119.83000000,1.03685783
119.84000000,1.03617226
119.85000000,1.03548743
119.86000000,1.03480332
119.87000000,1.03411993
119.88000000,1.03343728
119.89000000,1.03275534
119.90000000,1.03207414
119.91000000,1.03139365
119.92000000,1.03071390
119.93000000,1.03003486
119.94000000,1.02935654
119.95000000,1.02867894
119.96000000,1.02800207
119.97000000,1.02732591
119.98000000,1.02665047
119.99000000,1.02597575
120.00000000,1.02530174
120.01000000,1.02462845
120.02000000,1.02395587
120.03000000,1.02328400
120.04000000,1.02261285
120.05000000,1.02194241
120.06000000,1.02127268
120.07000000,1.02060366
120.08000000,1.01993535
120.09000000,1.01926775
120.10000000,1.01860085
120.11000000,1.01793467
120.12000000,1.01726918
120.13000000,1.01660441
120.14000000,1.01594033
120.15000000,1.01527696
120.16000000,1.01461429
120.17000000,1.01395233
120.18000000,1.01329106
120.19000000,1.01263049
120.20000000,1.01197062
120.21000000,1.01131145
120.22000000,1.01065298
120.23000000,1.00999520
120.24000000,1.00933812
120.25000000,1.00868173
120.26000000,1.00802604
120.27000000,1.00737103
120.28000000,1.00671672
120.29000000,1.00606311
120.30000000,1.00541018
120.31000000,1.00475794
120.32000000,1.00410639
120.33000000,1.00345552
120.34000000,1.00280535
120.35000000,1.00215585
120.36000000,1.00150705
120.37000000,1.00085893
120.38000000,1.00021149
120.39000000,0.99956473
120.40000000,0.99891865
120.41000000,0.99827326
120.42000000,0.99762854
120.43000000,0.99698451
120.44000000,0.99634115
120.45000000,0.99569847
120.46000000,0.99505646
120.47000000,0.99441513
120.48000000,0.99377448
120.49000000,0.99313450
120.50000000,0.99249519
120.51000000,0.99185655
120.52000000,0.99121858
120.53000000,0.99058129
120.54000000,0.98994466
120.55000000,0.98930870
120.56000000,0.98867340
120.57000000,0.98803877
120.58000000,0.98740480
120.59000000,0.98677149
120.60000000,0.98613884
120.61000000,0.98550685
120.62000000,0.98487552
120.63000000,0.98424484
120.64000000,0.98361482
120.65000000,0.98298545
120.66000000,0.98235674
120.67000000,0.98172867
120.68000000,0.98110126
120.69000000,0.98047449
120.70000000,0.97984838
120.71000000,0.97922290
120.72000000,0.97859807
120.73000000,0.97797389
120.74000000,0.97735034
120.75000000,0.97672744
120.76000000,0.97610518
120.77000000,0.97548355
120.78000000,0.97486256
120.79000000,0.97424220
120.80000000,0.97362248
120.81000000,0.97300340
120.82000000,0.97238494
120.83000000,0.97176711
120.84000000,0.97114991
120.85000000,0.97053334
120.86000000,0.96991740
120.87000000,0.96930208
120.88000000,0.96868738
120.89000000,0.96807331
120.90000000,0.96745985
120.91000000,0.96684702
120.92000000,0.96623481
120.93000000,0.96562321
120.94000000,0.96501222
120.95000000,0.96440185
120.96000000,0.96379210
120.97000000,0.96318295
120.98000000,0.96257442
120.99000000,0.96196650
121.00000000,0.96135918
121.01000000,0.96075247
121.02000000,0.96014636
121.03000000,0.95954086
121.04000000,0.95893596
121.05000000,0.95833166
121.06000000,0.95772797
121.07000000,0.95712487
121.08000000,0.95652236
121.09000000,0.95592046
121.10000000,0.95531915
121.11000000,0.95471843
121.12000000,0.95411830
121.13000000,0.95351877
121.14000000,0.95291982
121.15000000,0.95232146
121.16000000,0.95172369
121.17000000,0.95112651
121.18000000,0.95052990
121.19000000,0.94993388
121.20000000,0.94933845
121.21000000,0.94874359
121.22000000,0.94814931
121.23000000,0.94755561
121.24000000,0.94696249
121.25000000,0.94636994
121.26000000,0.94577796
121.27000000,0.94518656
121.28000000,0.94459573
121.29000000,0.94400547
121.30000000,0.94341577
121.31000000,0.94282664
121.32000000,0.94223808
121.33000000,0.94165009
121.34000000,0.94106265
121.35000000,0.94047578
121.36000000,0.93988947
121.37000000,0.93930372
121.38000000,0.93871853
121.39000000,0.93813389
121.40000000,0.93754981
121.41000000,0.93696628
121.42000000,0.93638331
121.43000000,0.93580088
121.44000000,0.93521901
121.45000000,0.93463769
121.46000000,0.93405691
121.47000000,0.93347668
121.48000000,0.93289699
121.49000000,0.93231785
121.50000000,0.93173925
121.51000000,0.93116119
121.52000000,0.93058367
121.53000000,0.93000669
121.54000000,0.92943025
121.55000000,0.92885435
121.56000000,0.92827898
121.57000000,0.92770414
121.58000000,0.92712984
121.59000000,0.92655608
121.60000000,0.92598285
121.61000000,0.92541014
121.62000000,0.92483797
121.63000000,0.92426633
121.64000000,0.92369522
121.65000000,0.92312464
121.66000000,0.92255458
121.67000000,0.92198505
121.68000000,0.92141604
121.69000000,0.92084755
121.70000000,0.92027959
121.71000000,0.91971216
121.72000000,0.91914524
121.73000000,0.91857884
121.74000000,0.91801297
121.75000000,0.91744761
121.76000000,0.91688277
121.77000000,0.91631844
121.78000000,0.91575463
121.79000000,0.91519134
121.80000000,0.91462855
121.81000000,0.91406629
121.82000000,0.91350453
121.83000000,0.91294328
121.84000000,0.91238255
121.85000000,0.91182232
121.86000000,0.91126260
121.87000000,0.91070339
121.88000000,0.91014468
121.89000000,0.90958648
121.90000000,0.90902878
121.91000000,0.90847159
121.92000000,0.90791490
121.93000000,0.90735871
121.94000000,0.90680302
121.95000000,0.90624783
121.96000000,0.90569314
121.97000000,0.90513895
121.98000000,0.90458525
121.99000000,0.90403205
122.00000000,0.90347934
122.01000000,0.90292713
122.02000000,0.90237541
122.03000000,0.90182418
122.04000000,0.90127345
122.05000000,0.90072320
122.06000000,0.90017344
122.07000000,0.89962417
122.08000000,0.89907539
122.09000000,0.89852710
122.10000000,0.89797929
122.11000000,0.89743196
122.12000000,0.89688512
122.13000000,0.89633876
122.14000000,0.89579288
122.15000000,0.89524749
122.16000000,0.89470257
122.17000000,0.89415813
122.18000000,0.89361417
122.19000000,0.89307069
122.20000000,0.89252768
122.21000000,0.89198515
122.22000000,0.89144309
122.23000000,0.89090151
122.24000000,0.89036039
122.25000000,0.88981975
122.26000000,0.88927958
122.27000000,0.88873988
122.28000000,0.88820064
122.29000000,0.88766188
122.30000000,0.88712358
122.31000000,0.88658575
122.32000000,0.88604838
122.33000000,0.88551147
122.34000000,0.88497503
122.35000000,0.88443905
122.36000000,0.88390353
122.37000000,0.88336847
122.38000000,0.88283387
122.39000000,0.88229973
122.40000000,0.88176604
122.41000000,0.88123281
122.42000000,0.88070004
122.43000000,0.88016772
122.44000000,0.87963585
122.45000000,0.87910444
122.46000000,0.87857348
122.47000000,0.87804297
122.48000000,0.87751290
122.49000000,0.87698329
122.50000000,0.87645412
122.51000000,0.87592541
122.52000000,0.87539713
122.53000000,0.87486931
122.54000000,0.87434193
122.55000000,0.87381500
122.56000000,0.87328851
122.57000000,0.87276246
122.58000000,0.87223687
122.59000000,0.87171171
122.60000000,0.87118700
122.61000000,0.87066274
122.62000000,0.87013892
122.63000000,0.86961554
122.64000000,0.86909260
122.65000000,0.86857011
122.66000000,0.86804806
122.67000000,0.86752646
122.68000000,0.86700529
122.69000000,0.86648457
122.70000000,0.86596429
122.71000000,0.86544445
122.72000000,0.86492505
122.73000000,0.86440609
122.74000000,0.86388757
122.75000000,0.86336950
122.76000000,0.86285186
122.77000000,0.86233466
122.78000000,0.86181791
122.79000000,0.86130159
122.80000000,0.86078571
122.81000000,0.86027027
122.82000000,0.85975526
122.83000000,0.85924070
122.84000000,0.85872657
122.85000000,0.85821288
122.86000000,0.85769963
122.87000000,0.85718681
122.88000000,0.85667443
122.89000000,0.85616249
122.90000000,0.85565099
122.91000000,0.85513991
122.92000000,0.85462928
122.93000000,0.85411908
122.94000000,0.85360932
122.95000000,0.85309999
122.96000000,0.85259109
122.97000000,0.85208263
122.98000000,0.85157460
122.99000000,0.85106701
123.00000000,0.85055985
123.01000000,0.85005312
123.02000000,0.84954683
123.03000000,0.84904097
123.04000000,0.84853554
123.05000000,0.84803054
123.06000000,0.84752598
123.07000000,0.84702184
123.08000000,0.84651814
123.09000000,0.84601487
123.10000000,0.84551203
123.11000000,0.84500962
123.12000000,0.84450764
123.13000000,0.84400608
123.14000000,0.84350496
123.15000000,0.84300427
123.16000000,0.84250401
123.17000000,0.84200417
123.18000000,0.84150477
123.19000000,0.84100579
123.20000000,0.84050724
123.21000000,0.84000912
123.22000000,0.83951142
123.23000000,0.83901416
123.24000000,0.83851732
123.25000000,0.83802090
123.26000000,0.83752491
123.27000000,0.83702935
123.28000000,0.83653422
123.29000000,0.83603951
123.30000000,0.83554522
123.31000000,0.83505136
123.32000000,0.83455792
123.33000000,0.83406491
123.34000000,0.83357232
123.35000000,0.83308016
123.36000000,0.83258842
123.37000000,0.83209710
123.38000000,0.83160621
123.39000000,0.83111574
123.40000000,0.83062569
123.41000000,0.83013606
123.42000000,0.82964686
123.43000000,0.82915807
123.44000000,0.82866971
123.45000000,0.82818177
123.46000000,0.82769425
123.47000000,0.82720715
123.48000000,0.82672047
123.49000000,0.82623421
123.50000000,0.82574837
123.51000000,0.82526295
123.52000000,0.82477795
123.53000000,0.82429337
123.54000000,0.82380921
123.55000000,0.82332547
123.56000000,0.82284214
123.57000000,0.82235924
123.58000000,0.82187676
123.59000000,0.82139469
123.60000000,0.82091304
123.61000000,0.82043181
123.62000000,0.81995101
123.63000000,0.81947062
123.64000000,0.81899065
123.65000000,0.81851109
123.66000000,0.81803196
123.67000000,0.81755325
123.68000000,0.81707495
123.69000000,0.81659708
123.70000000,0.81611962
123.71000000,0.81564258
123.72000000,0.81516596
123.73000000,0.81468976
123.74000000,0.81421397
123.75000000,0.81373861
123.76000000,0.81326366
123.77000000,0.81278914
123.78000000,0.81231503
123.79000000,0.81184134
123.80000000,0.81136806
123.81000000,0.81089521
123.82000000,0.81042277
123.83000000,0.80995076
123.84000000,0.80947916
123.85000000,0.80900798
123.86000000,0.80853722
123.87000000,0.80806687
123.88000000,0.80759694
123.89000000,0.80712744
123.90000000,0.80665835
123.91000000,0.80618967
123.92000000,0.80572142
123.93000000,0.80525358
123.94000000,0.80478617
123.95000000,0.80431917
123.96000000,0.80385258
123.97000000,0.80338642
123.98000000,0.80292067
123.99000000,0.80245534
124.00000000,0.80199043
124.01000000,0.80152594
124.02000000,0.80106186
124.03000000,0.80059820
124.04000000,0.80013496
124.05000000,0.79967214
124.06000000,0.79920973
124.07000000,0.79874774
124.08000000,0.79828617
124.09000000,0.79782502
124.10000000,0.79736428
124.11000000,0.79690396
124.12000000,0.79644406
124.13000000,0.79598457
124.14000000,0.79552551
124.15000000,0.79506686
124.16000000,0.79460862
124.17000000,0.79415081
124.18000000,0.79369341
124.19000000,0.79323642
124.20000000,0.79277986
124.21000000,0.79232371
124.22000000,0.79186798
124.23000000,0.79141266
124.24000000,0.79095777
124.25000000,0.79050329
124.26000000,0.79004922
124.27000000,0.78959558
124.28000000,0.78914234
124.29000000,0.78868953
124.30000000,0.78823713
124.31000000,0.78778515
124.32000000,0.78733359
124.33000000,0.78688244
124.34000000,0.78643171
124.35000000,0.78598139
124.36000000,0.78553150
124.37000000,0.78508201
124.38000000,0.78463295
124.39000000,0.78418430
124.40000000,0.78373607
124.41000000,0.78328825
124.42000000,0.78284085
124.43000000,0.78239387
124.44000000,0.78194730
124.45000000,0.78150115
124.46000000,0.78105541
124.47000000,0.78061009
124.48000000,0.78016519
124.49000000,0.77972070
124.50000000,0.77927662
124.51000000,0.77883297
124.52000000,0.77838973
124.53000000,0.77794690
124.54000000,0.77750449
124.55000000,0.77706249
124.56000000,0.77662090
124.57000000,0.77617972
124.58000000,0.77573895
124.59000000,0.77529860
124.60000000,0.77485865
124.61000000,0.77441911
124.62000000,0.77397998
124.63000000,0.77354125
124.64000000,0.77310293
124.65000000,0.77266501
124.66000000,0.77222750
124.67000000,0.77179040
124.68000000,0.77135369
124.69000000,0.77091739
124.70000000,0.77048149
124.71000000,0.77004598
124.72000000,0.76961088
124.73000000,0.76917618
124.74000000,0.76874188
124.75000000,0.76830797
124.76000000,0.76787446
124.77000000,0.76744134
124.78000000,0.76700862
124.79000000,0.76657630
124.80000000,0.76614436
124.81000000,0.76571282
124.82000000,0.76528168
124.83000000,0.76485092
124.84000000,0.76442055
124.85000000,0.76399058
124.86000000,0.76356099
124.87000000,0.76313179
124.88000000,0.76270297
124.89000000,0.76227455
124.90000000,0.76184651
124.91000000,0.76141885
124.92000000,0.76099158
124.93000000,0.76056469
124.94000000,0.76013818
124.95000000,0.75971206
124.96000000,0.75928632
124.97000000,0.75886095
124.98000000,0.75843597
124.99000000,0.75801137
125.00000000,0.75758714
125.01000000,0.75716329
125.02000000,0.75673982
125.03000000,0.75631672
125.04000000,0.75589400
125.05000000,0.75547165
125.06000000,0.75504967
125.07000000,0.75462807
125.08000000,0.75420684
125.09000000,0.75378598
125.10000000,0.75336549
125.11000000,0.75294537
125.12000000,0.75252562
125.13000000,0.75210623
125.14000000,0.75168722
125.15000000,0.75126857
125.16000000,0.75085028
125.17000000,0.75043236
125.18000000,0.75001481
125.19000000,0.74959761
125.20000000,0.74918078
125.21000000,0.74876431
125.22000000,0.74834820
125.23000000,0.74793246
125.24000000,0.74751707
125.25000000,0.74710204
125.26000000,0.74668737
125.27000000,0.74627305
125.28000000,0.74585909
125.29000000,0.74544549
125.30000000,0.74503224
125.31000000,0.74461935
125.32000000,0.74420680
125.33000000,0.74379462
125.34000000,0.74338278
125.35000000,0.74297129
125.36000000,0.74256015
125.37000000,0.74214937
125.38000000,0.74173893
125.39000000,0.74132884
125.40000000,0.74091909
125.41000000,0.74050969
125.42000000,0.74010064
125.43000000,0.73969193
125.44000000,0.73928357
125.45000000,0.73887555
125.46000000,0.73846787
125.47000000,0.73806053
125.48000000,0.73765354
125.49000000,0.73724688
125.50000000,0.73684056
125.51000000,0.73643458
125.52000000,0.73602894
125.53000000,0.73562364
125.54000000,0.73521868
125.55000000,0.73481405
125.56000000,0.73440976
125.57000000,0.73400581
125.58000000,0.73360219
125.59000000,0.73319891
125.60000000,0.73279597
125.61000000,0.73239336
125.62000000,0.73199109
125.63000000,0.73158916
125.64000000,0.73118756
125.65000000,0.73078630
125.66000000,0.73038537
125.67000000,0.72998478
125.68000000,0.72958452
125.69000000,0.72918459
125.70000000,0.72878500
125.71000000,0.72838575
125.72000000,0.72798683
125.73000000,0.72758824
125.74000000,0.72718998
125.75000000,0.72679206
125.76000000,0.72639447
125.77000000,0.72599722
125.78000000,0.72560030
125.79000000,0.72520371
125.80000000,0.72480745
125.81000000,0.72441152
125.82000000,0.72401593
125.83000000,0.72362066
125.84000000,0.72322573
125.85000000,0.72283113
125.86000000,0.72243686
125.87000000,0.72204292
125.88000000,0.72164931
125.89000000,0.72125603
125.90000000,0.72086308
125.91000000,0.72047046
125.92000000,0.72007818
125.93000000,0.71968622
125.94000000,0.71929458
125.95000000,0.71890328
125.96000000,0.71851231
125.97000000,0.71812166
125.98000000,0.71773135
125.99000000,0.71734136
126.00000000,0.71695170
126.01000000,0.71656236
126.02000000,0.71617336
126.03000000,0.71578468
126.04000000,0.71539633
126.05000000,0.71500830
126.06000000,0.71462060
126.07000000,0.71423323
126.08000000,0.71384618
126.09000000,0.71345946
126.10000000,0.71307307
126.11000000,0.71268700
126.12000000,0.71230126
126.13000000,0.71191584
126.14000000,0.71153074
126.15000000,0.71114597
126.16000000,0.71076153
126.17000000,0.71037741
126.18000000,0.70999361
126.19000000,0.70961013
126.20000000,0.70922698
126.21000000,0.70884416
126.22000000,0.70846165
126.23000000,0.70807947
126.24000000,0.70769761
126.25000000,0.70731608
126.26000000,0.70693486
126.27000000,0.70655397
126.28000000,0.70617340
126.29000000,0.70579315
126.30000000,0.70541322
126.31000000,0.70503362
126.32000000,0.70465433
126.33000000,0.70427537
126.34000000,0.70389672
126.35000000,0.70351840
126.36000000,0.70314039
126.37000000,0.70276271
126.38000000,0.70238534
126.39000000,0.70200830
126.40000000,0.70163157
126.41000000,0.70125516
126.42000000,0.70087908
126.43000000,0.70050331
126.44000000,0.70012785
126.45000000,0.69975272
126.46000000,0.69937790
126.47000000,0.69900340
126.48000000,0.69862922
126.49000000,0.69825536
126.50000000,0.69788181
126.51000000,0.69750858
126.52000000,0.69713567
126.53000000,0.69676307
126.54000000,0.69639079
126.55000000,0.69601882
126.56000000,0.69564717
126.57000000,0.69527584
126.58000000,0.69490482
126.59000000,0.69453411
126.60000000,0.69416372
126.61000000,0.69379364
126.62000000,0.69342388
126.63000000,0.69305443
126.64000000,0.69268529
126.65000000,0.69231647
126.66000000,0.69194795
126.67000000,0.69157976
126.68000000,0.69121187
126.69000000,0.69084429
126.70000000,0.69047703
126.71000000,0.69011008
126.72000000,0.68974344
126.73000000,0.68937711
126.74000000,0.68901109
126.75000000,0.68864538
126.76000000,0.68827998
126.77000000,0.68791489
126.78000000,0.68755011
126.79000000,0.68718564
126.80000000,0.68682148
126.81000000,0.68645763
126.82000000,0.68609408
126.83000000,0.68573085
126.84000000,0.68536792
126.85000000,0.68500530
126.86000000,0.68464298
126.87000000,0.68428098
126.88000000,0.68391928
126.89000000,0.68355788
126.90000000,0.68319680
126.91000000,0.68283602
126.92000000,0.68247554
126.93000000,0.68211537
126.94000000,0.68175551
126.95000000,0.68139595
126.96000000,0.68103669
126.97000000,0.68067774
126.98000000,0.68031909
126.99000000,0.67996075
127.00000000,0.67960271
127.01000000,0.67924498
127.02000000,0.67888754
127.03000000,0.67853041
127.04000000,0.67817359
127.05000000,0.67781706
127.06000000,0.67746084
127.07000000,0.67710492
127.08000000,0.67674930
127.09000000,0.67639398
127.10000000,0.67603896
127.11000000,0.67568424
127.12000000,0.67532983
127.13000000,0.67497571
127.14000000,0.67462189
127.15000000,0.67426837
127.16000000,0.67391515
127.17000000,0.67356224
127.18000000,0.67320961
127.19000000,0.67285729
127.20000000,0.67250527
127.21000000,0.67215354
127.22000000,0.67180211
127.23000000,0.67145098
127.24000000,0.67110015
127.25000000,0.67074961
127.26000000,0.67039937
127.27000000,0.67004943
127.28000000,0.66969978
127.29000000,0.66935043
127.30000000,0.66900137
127.31000000,0.66865261
127.32000000,0.66830414
127.33000000,0.66795597
127.34000000,0.66760809
127.35000000,0.66726051
127.36000000,0.66691322
127.37000000,0.66656622
127.38000000,0.66621952
127.39000000,0.66587311
127.40000000,0.66552699
127.41000000,0.66518117
127.42000000,0.66483564
127.43000000,0.66449040
127.44000000,0.66414545
127.45000000,0.66380079
127.46000000,0.66345643
127.47000000,0.66311236
127.48000000,0.66276857
127.49000000,0.66242508
127.50000000,0.66208187
127.51000000,0.66173896
127.52000000,0.66139634
127.53000000,0.66105400
127.54000000,0.66071195
127.55000000,0.66037019
127.56000000,0.66002871
127.57000000,0.65968752
127.58000000,0.65934661
127.59000000,0.65900598
127.60000000,0.65866564
127.61000000,0.65832558
127.62000000,0.65798579
127.63000000,0.65764629
127.64000000,0.65730707
127.65000000,0.65696812
127.66000000,0.65662945
127.67000000,0.65629105
127.68000000,0.65595293
127.69000000,0.65561509
127.70000000,0.65527752
127.71000000,0.65494022
127.72000000,0.65460319
127.73000000,0.65426643
127.74000000,0.65392994
127.75000000,0.65359372
127.76000000,0.65325777
127.77000000,0.65292209
127.78000000,0.65258667
127.79000000,0.65225152
127.80000000,0.65191663
127.81000000,0.65158200
127.82000000,0.65124764
127.83000000,0.65091354
127.84000000,0.65057970
127.85000000,0.65024613
127.86000000,0.64991281
127.87000000,0.64957974
127.88000000,0.64924694
127.89000000,0.64891439
127.90000000,0.64858210
127.91000000,0.64825007
127.92000000,0.64791828
127.93000000,0.64758675
127.94000000,0.64725548
127.95000000,0.64692445
127.96000000,0.64659368
127.97000000,0.64626315
127.98000000,0.64593287
127.99000000,0.64560284
128.00000000,0.64527306
128.01000000,0.64494352
128.02000000,0.64461423
128.03000000,0.64428519
128.04000000,0.64395638
128.05000000,0.64362782
128.06000000,0.64329950
128.07000000,0.64297143
128.08000000,0.64264359
128.09000000,0.64231599
128.10000000,0.64198863
128.11000000,0.64166151
128.12000000,0.64133462
128.13000000,0.64100797
128.14000000,0.64068155
128.15000000,0.64035537
128.16000000,0.64002942
128.17000000,0.63970370
128.18000000,0.63937821
128.19000000,0.63905296
128.20000000,0.63872793
128.21000000,0.63840313
128.22000000,0.63807856
128.23000000,0.63775422
128.24000000,0.63743010
128.25000000,0.63710621
128.26000000,0.63678254
128.27000000,0.63645910
128.28000000,0.63613588
128.29000000,0.63581288
128.30000000,0.63549010
128.31000000,0.63516754
128.32000000,0.63484519
128.33000000,0.63452307
128.34000000,0.63420117
128.35000000,0.63387948
128.36000000,0.63355800
128.37000000,0.63323674
128.38000000,0.63291570
128.39000000,0.63259486
128.40000000,0.63227424
128.41000000,0.63195383
128.42000000,0.63163363
128.43000000,0.63131364
128.44000000,0.63099386
128.45000000,0.63067429
128.46000000,0.63035492
128.47000000,0.63003576
128.48000000,0.62971680
128.49000000,0.62939805
128.50000000,0.62907950
128.51000000,0.62876115
128.52000000,0.62844301
128.53000000,0.62812507
128.54000000,0.62780733
128.55000000,0.62748979
128.56000000,0.62717245
128.57000000,0.62685532
128.58000000,0.62653839
128.59000000,0.62622166
128.60000000,0.62590513
128.61000000,0.62558881
128.62000000,0.62527269
128.63000000,0.62495677
128.64000000,0.62464105
128.65000000,0.62432553
128.66000000,0.62401022
128.67000000,0.62369510
128.68000000,0.62338019
128.69000000,0.62306549
128.70000000,0.62275098
128.71000000,0.62243667
128.72000000,0.62212257
128.73000000,0.62180867
128.74000000,0.62149497
128.75000000,0.62118147
128.76000000,0.62086818
128.77000000,0.62055509
128.78000000,0.62024219
