mass,sigma
107.66000000,295.44250128
107.67000000,295.09381730
107.68000000,294.74575708
107.69000000,294.39831852
107.70000000,294.05149949
107.71000000,293.70529790
107.72000000,293.35971162
107.73000000,293.01473853
107.74000000,292.67037654
107.75000000,292.32662352
107.76000000,291.98347788
107.77000000,291.64094015
107.78000000,291.29901136
107.79000000,290.95769258
107.80000000,290.61698484
107.81000000,290.27688918
107.82000000,289.93740665
107.83000000,289.59853831
107.84000000,289.26028519
107.85000000,288.92264834
107.86000000,288.58562849
107.87000000,288.24922516
107.88000000,287.91343752
107.89000000,287.57826479
107.90000000,287.24370614
107.91000000,286.90976078
107.92000000,286.57642790
107.93000000,286.24370670
107.94000000,285.91159635
107.95000000,285.58009608
107.96000000,285.24920412
107.97000000,284.91891503
107.98000000,284.58922243
107.99000000,284.26011993
108.00000000,283.93160113
108.01000000,283.60365966
108.02000000,283.27628913
108.03000000,282.94948315
108.04000000,282.62323534
108.05000000,282.29753931
108.06000000,281.97238963
108.07000000,281.64778470
108.08000000,281.32372387
108.09000000,281.00020649
108.10000000,280.67723192
108.11000000,280.35479952
108.12000000,280.03290862
108.13000000,279.71155859
108.14000000,279.39074878
108.15000000,279.07047855
108.16000000,278.75074754
108.17000000,278.43155664
108.18000000,278.11290702
108.19000000,277.79479988
108.20000000,277.47723638
108.21000000,277.16021771
108.22000000,276.84374506
108.23000000,276.52781959
108.24000000,276.21244250
108.25000000,275.89761496
108.26000000,275.58333765
108.27000000,275.26960918
108.28000000,274.95642769
108.29000000,274.64379129
108.30000000,274.33169810
108.31000000,274.02014623
108.32000000,273.70913382
108.33000000,273.39865896
108.34000000,273.08871980
108.35000000,272.77931443
108.36000000,272.47044110
108.37000000,272.16209853
108.38000000,271.85428554
108.39000000,271.54700096
108.40000000,271.24024363
108.41000000,270.93401237
108.42000000,270.62830601
108.43000000,270.32312340
108.44000000,270.01846335
108.45000000,269.71432470
108.46000000,269.41070627
108.47000000,269.10760688
108.48000000,268.80502535
108.49000000,268.50296048
108.50000000,268.20141108
108.51000000,267.90037598
108.52000000,267.59985397
108.53000000,267.29984387
108.54000000,267.00034449
108.55000000,266.70135464
108.56000000,266.40287315
108.57000000,266.10489887
108.58000000,265.80743065
108.59000000,265.51046735
108.60000000,265.21400785
108.61000000,264.91805099
108.62000000,264.62259564
108.63000000,264.32764066
108.64000000,264.03318492
108.65000000,263.73922726
108.66000000,263.44576656
108.67000000,263.15280170
108.68000000,262.86033156
108.69000000,262.56835504
108.70000000,262.27687102
108.71000000,261.98587839
108.72000000,261.69537603
108.73000000,261.40536284
108.74000000,261.11583770
108.75000000,260.82679950
108.76000000,260.53824713
108.77000000,260.25017950
108.78000000,259.96259552
108.79000000,259.67549410
108.80000000,259.38887414
108.81000000,259.10273457
108.82000000,258.81707428
108.83000000,258.53189220
108.84000000,258.24718723
108.85000000,257.96295829
108.86000000,257.67920428
108.87000000,257.39592414
108.88000000,257.11311680
108.89000000,256.83078119
108.90000000,256.54891624
108.91000000,256.26752089
108.92000000,255.98659407
108.93000000,255.70613472
108.94000000,255.42614175
108.95000000,255.14661412
108.96000000,254.86755075
108.97000000,254.58895061
108.98000000,254.31081269
108.99000000,254.03313594
109.00000000,253.75591935
109.01000000,253.47916189
109.02000000,253.20286253
109.03000000,252.92702024
109.04000000,252.65163401
109.05000000,252.37670280
109.06000000,252.10222560
109.07000000,251.82820143
109.08000000,251.55462931
109.09000000,251.28150827
109.10000000,251.00883733
109.11000000,250.73661554
109.12000000,250.46484190
109.13000000,250.19351546
109.14000000,249.92263524
109.15000000,249.65220026
109.16000000,249.38220956
109.17000000,249.11266221
109.18000000,248.84355727
109.19000000,248.57489380
109.20000000,248.30667089
109.21000000,248.03888759
109.22000000,247.77154297
109.23000000,247.50463611
109.24000000,247.23816607
109.25000000,246.97213192
109.26000000,246.70653272
109.27000000,246.44136754
109.28000000,246.17663541
109.29000000,245.91233538
109.30000000,245.64846651
109.31000000,245.38502784
109.32000000,245.12201842
109.33000000,244.85943731
109.34000000,244.59728354
109.35000000,244.33555616
109.36000000,244.07425423
109.37000000,243.81337676
109.38000000,243.55292275
109.39000000,243.29289123
109.40000000,243.03328119
109.41000000,242.77409167
109.42000000,242.51532165
109.43000000,242.25697017
109.44000000,241.99903623
109.45000000,241.74151884
109.46000000,241.48441702
109.47000000,241.22772989
109.48000000,240.97145655
109.49000000,240.71559612
109.50000000,240.46014771
109.51000000,240.20511044
109.52000000,239.95048342
109.53000000,239.69626577
109.54000000,239.44245661
109.55000000,239.18905504
109.56000000,238.93606020
109.57000000,238.68347125
109.58000000,238.43128735
109.59000000,238.17950767
109.60000000,237.92813140
109.61000000,237.67715770
109.62000000,237.42658575
109.63000000,237.17641471
109.64000000,236.92664375
109.65000000,236.67727205
109.66000000,236.42829878
109.67000000,236.17972310
109.68000000,235.93154417
109.69000000,235.68376114
109.70000000,235.43637318
109.71000000,235.18937943
109.72000000,234.94277907
109.73000000,234.69657125
109.74000000,234.45075513
109.75000000,234.20532986
109.76000000,233.96029461
109.77000000,233.71564855
109.78000000,233.47139086
109.79000000,233.22752071
109.80000000,232.98403727
109.81000000,232.74093972
109.82000000,232.49822723
109.83000000,232.25589899
109.84000000,232.01395416
109.85000000,231.77239192
109.86000000,231.53121144
109.87000000,231.29041192
109.88000000,231.04999252
109.89000000,230.80995243
109.90000000,230.57029084
109.91000000,230.33100692
109.92000000,230.09209986
109.93000000,229.85356884
109.94000000,229.61541305
109.95000000,229.37763166
109.96000000,229.14022387
109.97000000,228.90318889
109.98000000,228.66652594
109.99000000,228.43023425
110.00000000,228.19431303
110.01000000,227.95876152
110.02000000,227.72357892
110.03000000,227.48876447
110.04000000,227.25431739
110.05000000,227.02023689
110.06000000,226.78652221
110.07000000,226.55317259
110.08000000,226.32018728
110.09000000,226.08756553
110.10000000,225.85530660
110.11000000,225.62340973
110.12000000,225.39187418
110.13000000,225.16069919
110.14000000,224.92988402
110.15000000,224.69942791
110.16000000,224.46933012
110.17000000,224.23958991
110.18000000,224.01020653
110.19000000,223.78117923
110.20000000,223.55250726
110.21000000,223.32418990
110.22000000,223.09622638
110.23000000,222.86861597
110.24000000,222.64135793
110.25000000,222.41445150
110.26000000,222.18789594
110.27000000,221.96169054
110.28000000,221.73583458
110.29000000,221.51032733
110.30000000,221.28516807
110.31000000,221.06035609
110.32000000,220.83589066
110.33000000,220.61177107
110.34000000,220.38799660
110.35000000,220.16456652
110.36000000,219.94148012
110.37000000,219.71873668
110.38000000,219.49633548
110.39000000,219.27427580
110.40000000,219.05255692
110.41000000,218.83117812
110.42000000,218.61013869
110.43000000,218.38943790
110.44000000,218.16907503
110.45000000,217.94904936
110.46000000,217.72936020
110.47000000,217.51000687
110.48000000,217.29098874
110.49000000,217.07230516
110.50000000,216.85395548
110.51000000,216.63593906
110.52000000,216.41825525
110.53000000,216.20090341
110.54000000,215.98388290
110.55000000,215.76719306
110.56000000,215.55083325
110.57000000,215.33480281
110.58000000,215.11910108
110.59000000,214.90372740
110.60000000,214.68868112
110.61000000,214.47396157
110.62000000,214.25956809
110.63000000,214.04550003
110.64000000,213.83175672
110.65000000,213.61833750
110.66000000,213.40524172
110.67000000,213.19246865
110.68000000,212.98001761
110.69000000,212.76788787
110.70000000,212.55607873
110.71000000,212.34458947
110.72000000,212.13341940
110.73000000,211.92256780
110.74000000,211.71203395
110.75000000,211.50181716
110.76000000,211.29191672
110.77000000,211.08233201
110.78000000,210.87306238
110.79000000,210.66410721
110.80000000,210.45546589
110.81000000,210.24713778
110.82000000,210.03912226
110.83000000,209.83141870
110.84000000,209.62402648
110.85000000,209.41694496
110.86000000,209.21017354
110.87000000,209.00371157
110.88000000,208.79755842
110.89000000,208.59171347
110.90000000,208.38617608
110.91000000,208.18094563
110.92000000,207.97602148
110.93000000,207.77140300
110.94000000,207.56708957
110.95000000,207.36308055
110.96000000,207.15937533
110.97000000,206.95597331
110.98000000,206.75287394
110.99000000,206.55007663
111.00000000,206.34758083
111.01000000,206.14538595
111.02000000,205.94349142
111.03000000,205.74189668
111.04000000,205.54060114
111.05000000,205.33960425
111.06000000,205.13890543
111.07000000,204.93850410
111.08000000,204.73839968
111.09000000,204.53859160
111.10000000,204.33907929
111.11000000,204.13986217
111.12000000,203.94093966
111.13000000,203.74231118
111.14000000,203.54397617
111.15000000,203.34593404
111.16000000,203.14818421
111.17000000,202.95072609
111.18000000,202.75355908
111.19000000,202.55668258
111.20000000,202.36009599
111.21000000,202.16379871
111.22000000,201.96779014
111.23000000,201.77206968
111.24000000,201.57663673
111.25000000,201.38149069
111.26000000,201.18663097
111.27000000,200.99205703
111.28000000,200.79776830
111.29000000,200.60376424
111.30000000,200.41004432
111.31000000,200.21660797
111.32000000,200.02345467
111.33000000,199.83058385
111.34000000,199.63799498
111.35000000,199.44568751
111.36000000,199.25366089
111.37000000,199.06191457
111.38000000,198.87044800
111.39000000,198.67926063
111.40000000,198.48835191
111.41000000,198.29772129
111.42000000,198.10736821
111.43000000,197.91729213
111.44000000,197.72749249
111.45000000,197.53796875
111.46000000,197.34872035
111.47000000,197.15974675
111.48000000,196.97104743
111.49000000,196.78262185
111.50000000,196.59446947
111.51000000,196.40658975
111.52000000,196.21898216
111.53000000,196.03164617
111.54000000,195.84458124
111.55000000,195.65778684
111.56000000,195.47126243
111.57000000,195.28500749
111.58000000,195.09902152
111.59000000,194.91330399
111.60000000,194.72785440
111.61000000,194.54267223
111.62000000,194.35775697
111.63000000,194.17310810
111.64000000,193.98872510
111.65000000,193.80460747
111.66000000,193.62075469
111.67000000,193.43716624
111.68000000,193.25384158
111.69000000,193.07078020
111.70000000,192.88798157
111.71000000,192.70544516
111.72000000,192.52317044
111.73000000,192.34115690
111.74000000,192.15940400
111.75000000,191.97791122
111.76000000,191.79667805
111.77000000,191.61570401
111.78000000,191.43498865
111.79000000,191.25453152
111.80000000,191.07433214
111.81000000,190.89439007
111.82000000,190.71470485
111.83000000,190.53527601
111.84000000,190.35610310
111.85000000,190.17718567
111.86000000,189.99852325
111.87000000,189.82011538
111.88000000,189.64196159
111.89000000,189.46406143
111.90000000,189.28641442
111.91000000,189.10902009
111.92000000,188.93187800
111.93000000,188.75498766
111.94000000,188.57834862
111.95000000,188.40196041
111.96000000,188.22582255
111.97000000,188.04993450
111.98000000,187.87429570
111.99000000,187.69890560
112.00000000,187.52376364
112.01000000,187.34886926
112.02000000,187.17422192
112.03000000,186.99982105
112.04000000,186.82566610
112.05000000,186.65175651
112.06000000,186.47809174
112.07000000,186.30467133
112.08000000,186.13149484
112.09000000,185.95856180
112.10000000,185.78587178
112.11000000,185.61342432
112.12000000,185.44121898
112.13000000,185.26925531
112.14000000,185.09753286
112.15000000,184.92605119
112.16000000,184.75480985
112.17000000,184.58380843
112.18000000,184.41304652
112.19000000,184.24252373
112.20000000,184.07223965
112.21000000,183.90219388
